Title,Link,Comments
Lieferando.de has captured 5.7% of restaurant related domain names,https://mondaybits.com/lieferando-captured-6-percent-of-restaurant-related-domain-names/,77 comments
Ten years of JSON Web Token and preparing for the future,https://self-issued.info/?p=2708,88 comments
Show HN: A minimalist web timer for focus and time tracking,https://iamlockedin.com/,2 comments
jjui – A Nice TUI for Jujutsu,https://github.com/idursun/jjui,22 comments
Bagel: Open-source unified multimodal model,https://bagel-ai.org/,20 comments
Open Source Society University – Path to a free self-taught education in CS,https://github.com/ossu/computer-science,121 comments
Google shared my phone number,https://danq.me/2025/05/21/google-shared-my-phone-number/,127 comments
GitHub issues is almost the best notebook in the world,https://simonwillison.net/2025/May/26/notes/,25 comments
Ask HN: What are you working on? (May 2025),item?id=44090387,724 comments
Venta AI (YC S23) Is Hiring a Founding Full Stack Engineer in Amsterdam,https://www.ycombinator.com/companies/venta-ai/jobs/K8m4p6z-founding-full-stack-engineer,0 comments
Lottie is an open format for animated vector graphics,https://lottie.github.io/,146 comments
"At Amazon, some coders say their jobs have begun to resemble warehouse work",https://www.nytimes.com/2025/05/25/business/amazon-ai-coders.html,584 comments
Remote Prompt Injection in Gitlab Duo Leads to Source Code Theft,https://www.legitsecurity.com/blog/remote-prompt-injection-in-gitlab-duo,25 comments
Plwm – An X11 window manager written in Prolog,https://github.com/Seeker04/plwm,53 comments
Violating memory safety with Haskell's value restriction,https://welltypedwit.ch/posts/value-restriction,0 comments
Writing your own CUPS printer driver in 100 lines of Python (2018),https://behind.pretix.eu/2018/01/20/cups-driver/,27 comments
The truth about soft plastic recycling points,https://www.everydayplastic.org/softplastic,31 comments
"Trading with Claude, and writing your own MCP server",https://dangelov.com/blog/trading-with-claude/,43 comments
"Whippet GC notes on Guile, heuristics, and heap growth",https://wingolog.org/archives/2025/05/22/whippet-lab-notebook-guile-heuristics-and-heap-growth,0 comments
Lisping at JPL (2002),https://flownet.com/gat/jpl-lisp.html,52 comments
Design Pressure: The Invisible Hand That Shapes Your Code,https://hynek.me/talks/design-pressure/,50 comments
CAPTCHAs are over (in ticketing),https://behind.pretix.eu/2025/05/23/captchas-are-over/,218 comments
How Does Claude 4 Think? – Sholto Douglas and Trenton Bricken,https://www.dwarkesh.com/p/sholto-trenton-2,0 comments
New method for creating large 3D models of urban areas is faster and cheaper,https://techxplore.com/news/2025-05-action-movies-urban-method-large.html,3 comments
Writing a Self-Mutating x86_64 C Program (2013),https://ephemeral.cx/2013/12/writing-a-self-mutating-x86_64-c-program/,33 comments
Tariffs in American History,https://imprimis.hillsdale.edu/tariffs-in-american-history/,192 comments
Show HN: DaedalOS – Desktop Environment in the Browser,https://github.com/DustinBrett/daedalOS,36 comments
'Strange metals' point to a whole new way to understand electricity,https://www.science.org/content/article/strange-metals-point-whole-new-way-understand-electricity,2 comments
Show HN: Zli – A Batteries-Included CLI Framework for Zig,https://github.com/xcaeser/zli,37 comments
Chomsky on what ChatGPT is good for (2023),https://chomsky.info/20230503-2/,273 comments
